epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.0943,1.25354,2.37859,1.27952,0.65809,0.42328,0.45413,0.25744,1.44711,1.72286,1.46994,0.000366554,0.000366554,0.000366554
2,110.712,1.21505,1.13421,1.23885,0.68524,0.48221,0.47537,0.26843,1.29133,2.9168,1.46838,0.00073324,0.00073324,0.00073324
3,175.648,1.23423,1.11854,1.2408,0.76484,0.51457,0.61737,0.41819,1.07868,1.50743,1.20054,0.00109626,0.00109626,0.00109626
4,237.932,1.16705,1.05345,1.21713,0.59734,0.53111,0.5992,0.38355,1.19759,1.1709,1.28635,0.0010945,0.0010945,0.0010945
5,299.85,1.17257,0.96305,1.20714,0.99325,0.54186,0.68703,0.42888,1.19779,1.06443,1.25358,0.001089,0.001089,0.001089
6,364.366,1.12308,0.89369,1.16771,0.92398,0.65934,0.71838,0.52988,0.93173,0.7819,1.07968,0.0010835,0.0010835,0.0010835
7,426.802,1.09163,0.84793,1.16408,0.94882,0.65951,0.71683,0.52738,0.91194,0.70224,1.09829,0.001078,0.001078,0.001078
8,485.355,1.04211,0.82563,1.12377,0.83505,0.61105,0.6488,0.4182,1.23684,0.88813,1.28646,0.0010725,0.0010725,0.0010725
9,547.431,1.0628,0.80528,1.13351,0.92218,0.65902,0.71862,0.54143,0.85332,0.66965,1.04836,0.001067,0.001067,0.001067
10,615.84,1.06117,0.79905,1.14267,0.68777,0.68735,0.72696,0.55619,0.8032,0.84672,1.03503,0.0010615,0.0010615,0.0010615
11,680.288,1.02152,0.7593,1.1143,0.96577,0.70181,0.7499,0.55859,0.91761,0.54661,1.07457,0.00105601,0.00105601,0.00105601
12,744.143,0.96456,0.74262,1.07641,0.7564,0.77731,0.76609,0.59176,0.78124,0.50495,0.9889,0.00105051,0.00105051,0.00105051
13,806.998,0.999,0.76408,1.10138,0.92081,0.69982,0.7517,0.58869,0.73718,0.58793,0.98334,0.00104501,0.00104501,0.00104501
14,865.71,0.9627,0.70134,1.08428,0.93898,0.69949,0.76784,0.58329,0.84242,0.61848,1.01898,0.00103951,0.00103951,0.00103951
15,924.267,0.94754,0.6855,1.08449,0.97436,0.72736,0.79025,0.60676,0.79237,0.49786,0.99698,0.00103401,0.00103401,0.00103401
16,984.789,0.94182,0.67943,1.07265,0.84292,0.77923,0.79831,0.61206,0.75624,0.46459,0.98101,0.00102851,0.00102851,0.00102851
17,1047.17,0.9258,0.67066,1.06652,0.96633,0.7118,0.79199,0.59746,0.77405,0.52756,1.002,0.00102301,0.00102301,0.00102301
18,1105.82,0.91701,0.66162,1.07507,0.95424,0.71464,0.78564,0.61089,0.72379,0.57494,0.9752,0.00101751,0.00101751,0.00101751
19,1165.65,0.91114,0.63932,1.06316,0.86543,0.77042,0.7821,0.6105,0.74289,0.4854,0.96665,0.00101201,0.00101201,0.00101201
20,1224.5,0.89691,0.64337,1.054,0.79908,0.78359,0.78969,0.62477,0.7203,0.44183,0.98196,0.00100651,0.00100651,0.00100651
21,1289.4,0.87319,0.62428,1.04176,0.92389,0.75202,0.78043,0.59112,0.74708,0.46043,0.9923,0.00100101,0.00100101,0.00100101
22,1350.92,0.86924,0.61419,1.04867,0.79163,0.71851,0.7726,0.60189,0.74098,0.46413,0.96917,0.000995512,0.000995512,0.000995512
23,1414.09,0.83832,0.61541,1.01958,0.80741,0.74809,0.77994,0.61967,0.71559,0.51013,0.95678,0.000990012,0.000990012,0.000990012
24,1475.58,0.83802,0.58093,1.02567,0.97897,0.72214,0.77889,0.60988,0.74786,0.46524,0.97373,0.000984513,0.000984513,0.000984513
25,1534.94,0.84305,0.58407,1.02718,0.74317,0.76025,0.78124,0.62479,0.68562,0.46847,0.95089,0.000979013,0.000979013,0.000979013
26,1598.88,0.82102,0.55786,1.01953,0.79281,0.78564,0.79699,0.63212,0.7155,0.42086,0.96069,0.000973514,0.000973514,0.000973514
27,1668.7,0.85837,0.58832,1.03729,0.7017,0.73862,0.78305,0.61059,0.7302,0.53063,0.96669,0.000968014,0.000968014,0.000968014
28,1727.96,0.81143,0.57386,1.01009,0.84281,0.78271,0.80898,0.63074,0.71953,0.49119,0.96488,0.000962515,0.000962515,0.000962515
29,1792.33,0.81206,0.57318,1.0179,0.96152,0.74715,0.79375,0.61073,0.77889,0.41175,0.99592,0.000957015,0.000957015,0.000957015
