STT,Sản phẩm,Kết quả,Thời gian
1,Viên rời,"[NG] NG (1 LỖI) - OK: 1, Lỗi: 1 (vo)",2026-04-27 23:45:10
2,Viên rời,"[OK] SẢN PHẨM OK - OK: 1, Lỗi: 0 ()",2026-04-27 23:45:24
1,Viên rời,"[NG] NG (1 LỖI) - OK: 0, Lỗi: 1 (di_vat)",2026-04-28 12:28:27
2,Viên rời,"[NG] NG (1 LỖI) - OK: 0, Lỗi: 1 (vo)",2026-04-28 12:28:47
1,Viên rời,"[OK] SẢN PHẨM OK - OK: 1, Lỗi: 0 ()",2026-04-28 12:31:27
2,Viên rời,"[OK] SẢN PHẨM OK - OK: 1, Lỗi: 0 ()",2026-04-28 12:31:44
3,Viên rời,"[OK] SẢN PHẨM OK - OK: 1, Lỗi: 0 ()",2026-04-28 12:31:57
4,Viên rời,"[NG] NG (1 LỖI) - OK: 0, Lỗi: 1 (vo)",2026-04-28 12:32:17
5,Viên rời,"[OK] SẢN PHẨM OK - OK: 1, Lỗi: 0 ()",2026-04-28 12:32:32
6,Viên rời,"[NG] NG (2 LỖI) - OK: 0, Lỗi: 2 (vo)",2026-04-28 12:32:51
7,Viên rời,"[NG] NG (2 LỖI) - OK: 0, Lỗi: 2 (di vat, vo)",2026-04-28 12:33:10
8,Viên rời,"[NG] NG (1 LỖI) - OK: 1, Lỗi: 1 (vo)",2026-04-28 12:33:43
1,Vỉ thuốc,[OK] CHỜ VẬT THỂ,2026-04-28 12:38:35
2,Vỉ thuốc,[OK] CHỜ VẬT THỂ,2026-04-28 12:38:39
1,Viên rời,"[NG] NG (1 LỖI) - OK: 6, Lỗi: 1 (di vat)",2026-04-28 12:39:26
2,Viên rời,"[NG] NG (1 LỖI) - OK: 1, Lỗi: 1 (di vat)",2026-04-28 12:39:29
1,Vỉ thuốc,"[OK] SẢN PHẨM OK - OK: 1, Lỗi: 0 ()",2026-04-28 12:40:52
2,Vỉ thuốc,"[OK] SẢN PHẨM OK - OK: 1, Lỗi: 0 ()",2026-04-28 12:40:56
1,Viên rời,"[OK] SẢN PHẨM OK - OK: 2, Lỗi: 0 ()",2026-04-28 12:41:30
2,Vỉ thuốc,[OK] CHỜ VẬT THỂ,2026-04-28 12:41:55
1,Viên rời,"[NG] NG (1 LỖI) - OK: 0, Lỗi: 1 (di vat)",2026-04-28 12:44:21
1,Viên rời,"[NG] NG (1 LỖI) - OK: 0, Lỗi: 1 (vo)",2026-04-28 12:45:08
2,Viên rời,"[OK] SẢN PHẨM OK - OK: 1, Lỗi: 0 ()",2026-04-28 12:45:20
3,Viên rời,"[NG] NG (1 LỖI) - OK: 0, Lỗi: 1 (vo)",2026-04-28 12:45:35
