[Sun May  3 13:36:36 2026] Polling: Remote=2, Local=1
[Sun May  3 13:36:36 2026] WEB CMD: Remote=2, Local=1. SWITCHING...
[Sun May  3 13:36:37 2026] Polling: Remote=2, Local=2
[Sun May  3 13:36:38 2026] Polling: Remote=2, Local=2
[Sun May  3 13:36:39 2026] Polling: Remote=2, Local=2
[Sun May  3 13:36:40 2026] Polling: Remote=2, Local=2
[Sun May  3 13:36:41 2026] Polling: Remote=2, Local=2
[Sun May  3 13:36:42 2026] Polling: Remote=2, Local=2
[Sun May  3 13:36:43 2026] Polling: Remote=2, Local=2
[Sun May  3 13:36:44 2026] Polling: Remote=2, Local=2
[Sun May  3 13:36:45 2026] Polling: Remote=2, Local=2
[Sun May  3 13:36:46 2026] Polling: Remote=2, Local=2
[Sun May  3 13:36:47 2026] Polling: Remote=2, Local=2
[Sun May  3 13:36:47 2026] Polling: Remote=1, Local=2
[Sun May  3 13:36:47 2026] WEB CMD: Remote=1, Local=2. SWITCHING...
[Sun May  3 13:36:49 2026] Polling: Remote=2, Local=1
[Sun May  3 13:36:49 2026] WEB CMD: Remote=2, Local=1. SWITCHING...
[Sun May  3 13:36:50 2026] Polling: Remote=1, Local=2
[Sun May  3 13:36:50 2026] WEB CMD: Remote=1, Local=2. SWITCHING...
[Sun May  3 13:36:51 2026] Polling: Remote=2, Local=1
[Sun May  3 13:36:51 2026] WEB CMD: Remote=2, Local=1. SWITCHING...
[Sun May  3 13:36:52 2026] Polling: Remote=1, Local=2
[Sun May  3 13:36:52 2026] WEB CMD: Remote=1, Local=2. SWITCHING...
[Sun May  3 13:36:53 2026] Polling: Remote=2, Local=1
[Sun May  3 13:36:53 2026] WEB CMD: Remote=2, Local=1. SWITCHING...
[Sun May  3 13:38:31 2026] Polling: Remote=1, Local=1
[Sun May  3 13:38:32 2026] Polling: Remote=1, Local=1
[Sun May  3 13:38:33 2026] Polling: Remote=1, Local=1
[Sun May  3 13:38:34 2026] Polling: Remote=1, Local=1
[Sun May  3 13:38:35 2026] Polling: Remote=1, Local=1
[Sun May  3 13:38:36 2026] Polling: Remote=1, Local=1
[Sun May  3 13:38:36 2026] Polling: Remote=1, Local=1
[Sun May  3 13:38:37 2026] Polling: Remote=1, Local=1
[Sun May  3 13:38:38 2026] Polling: Remote=1, Local=1
[Sun May  3 13:38:39 2026] Polling: Remote=1, Local=1
[Sun May  3 13:38:40 2026] Polling: Remote=2, Local=1
[Sun May  3 13:38:40 2026] WEB CMD: Remote=2, Local=1. SWITCHING...
[Sun May  3 13:38:41 2026] Polling: Remote=1, Local=2
[Sun May  3 13:38:41 2026] WEB CMD: Remote=1, Local=2. SWITCHING...
[Sun May  3 13:38:43 2026] Polling: Remote=2, Local=1
[Sun May  3 13:38:43 2026] WEB CMD: Remote=2, Local=1. SWITCHING...
[Sun May  3 13:38:44 2026] Polling: Remote=1, Local=2
[Sun May  3 13:38:44 2026] WEB CMD: Remote=1, Local=2. SWITCHING...
[Sun May  3 13:38:45 2026] Polling: Remote=2, Local=1
[Sun May  3 13:38:45 2026] WEB CMD: Remote=2, Local=1. SWITCHING...
[Sun May  3 13:38:46 2026] Polling: Remote=1, Local=2
[Sun May  3 13:38:46 2026] WEB CMD: Remote=1, Local=2. SWITCHING...
[Sun May  3 13:38:47 2026] Polling: Remote=2, Local=1
[Sun May  3 13:38:47 2026] WEB CMD: Remote=2, Local=1. SWITCHING...
[Sun May  3 13:40:20 2026] Polling: Remote=1, Local=2
[Sun May  3 13:40:20 2026] WEB CMD: Remote=1, Local=2. SWITCHING...
[Sun May  3 13:40:21 2026] Polling: Remote=1, Local=1
[Sun May  3 13:40:22 2026] Polling: Remote=1, Local=1
