epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.4486,1.23657,1.96584,1.17907,0.78002,0.0922,0.12411,0.06664,2.20127,6.33519,1.91387,0.000471041,0.000471041,0.000471041
2,104.751,1.13094,0.98341,1.07119,0.00036,0.22786,0.00019,0.00013,2.397,175.128,2.12322,0.000942685,0.000942685,0.000942685
3,158.599,1.15317,0.97491,1.07736,0.53236,0.38531,0.4437,0.31842,1.33981,4.94866,1.19968,0.00140961,0.00140961,0.00140961
4,217.722,1.13653,0.9517,1.07166,0.80275,0.87267,0.90459,0.69836,0.84545,0.91863,0.92919,0.00140778,0.00140778,0.00140778
5,275.088,1.11871,0.87177,1.06564,0.85851,0.93914,0.94088,0.66005,1.12877,0.67066,1.03063,0.00140071,0.00140071,0.00140071
6,328.121,1.0481,0.79788,1.02969,0.94238,0.92526,0.92927,0.74177,0.79475,0.70051,0.90502,0.00139363,0.00139363,0.00139363
7,385.907,1.04751,0.75481,1.03733,0.88193,0.90171,0.95102,0.78148,0.74945,0.60216,0.89449,0.00138656,0.00138656,0.00138656
8,445.398,1.02656,0.74431,1.02475,0.77814,0.92857,0.93723,0.75729,0.77728,0.74752,0.89754,0.00137949,0.00137949,0.00137949
9,499.096,0.98918,0.71224,1.02061,0.96934,0.95788,0.96753,0.76129,0.84408,0.44536,0.91089,0.00137241,0.00137241,0.00137241
10,557.6,0.97908,0.68169,1.01537,0.92052,0.96226,0.97531,0.82763,0.68293,0.453,0.86423,0.00136534,0.00136534,0.00136534
11,624.015,0.9558,0.68532,1.00641,0.8762,0.88994,0.93356,0.77047,0.74352,0.73041,0.88094,0.00135826,0.00135826,0.00135826
12,681.854,0.93677,0.63513,1.00755,0.96292,0.99117,0.99066,0.81516,0.72951,0.42481,0.87481,0.00135119,0.00135119,0.00135119
13,739.392,0.93966,0.59873,0.9938,0.96834,0.97984,0.97324,0.82054,0.67682,0.41182,0.86056,0.00134412,0.00134412,0.00134412
14,799.473,0.90866,0.60937,0.98898,0.984,0.97513,0.995,0.82979,0.7036,0.38731,0.86499,0.00133704,0.00133704,0.00133704
15,863.498,0.9021,0.6022,0.98388,0.98373,1,0.995,0.83511,0.68453,0.38022,0.86148,0.00132997,0.00132997,0.00132997
16,925.007,0.89095,0.58973,0.98081,0.93407,0.87524,0.97202,0.81302,0.70553,0.57394,0.86408,0.0013229,0.0013229,0.0013229
17,978.531,0.87761,0.58004,0.96835,0.99665,0.99271,0.995,0.81847,0.73319,0.34698,0.86954,0.00131582,0.00131582,0.00131582
18,1037.09,0.87725,0.57386,0.98395,0.98503,0.99206,0.99384,0.821,0.75847,0.38069,0.87945,0.00130875,0.00130875,0.00130875
19,1094.07,0.87548,0.54828,0.97404,0.9897,0.99145,0.98571,0.81432,0.74311,0.35728,0.86895,0.00130168,0.00130168,0.00130168
20,1147.53,0.86077,0.53537,0.97203,0.98938,0.99651,0.99484,0.84415,0.67376,0.31725,0.85458,0.0012946,0.0012946,0.0012946
21,1206,0.8688,0.52756,0.96873,0.99595,0.99989,0.995,0.834,0.68651,0.3103,0.85257,0.00128753,0.00128753,0.00128753
22,1259.35,0.85404,0.54313,0.97462,0.98883,0.99145,0.99236,0.82189,0.70763,0.33006,0.8626,0.00128046,0.00128046,0.00128046
23,1315.22,0.83973,0.53076,0.97032,0.97324,0.93589,0.995,0.84263,0.63211,0.41253,0.83899,0.00127338,0.00127338,0.00127338
24,1375.15,0.84534,0.52847,0.97573,0.97193,0.99145,0.99041,0.84211,0.66234,0.34903,0.85023,0.00126631,0.00126631,0.00126631
25,1434.73,0.84316,0.51474,0.96458,0.98411,0.9922,0.995,0.83008,0.6862,0.31789,0.85791,0.00125923,0.00125923,0.00125923
26,1491.27,0.85222,0.51033,0.972,0.98106,0.97497,0.99396,0.8441,0.69155,0.35878,0.8622,0.00125216,0.00125216,0.00125216
27,1548.79,0.82514,0.49364,0.95522,0.99542,0.99767,0.995,0.84138,0.65567,0.2966,0.84593,0.00124509,0.00124509,0.00124509
28,1608.75,0.82296,0.51853,0.95816,0.98086,0.98192,0.98536,0.841,0.64037,0.32182,0.84223,0.00123801,0.00123801,0.00123801
29,1665.61,0.80209,0.51385,0.95578,0.95902,0.9782,0.99301,0.84634,0.67297,0.33232,0.85106,0.00123094,0.00123094,0.00123094
30,1730.06,0.80352,0.51764,0.96355,0.99687,1,0.995,0.85003,0.66031,0.29418,0.84939,0.00122387,0.00122387,0.00122387
31,1789.31,0.79897,0.50688,0.95818,0.98907,1,0.99483,0.85715,0.60571,0.28517,0.83249,0.00121679,0.00121679,0.00121679
32,1854.72,0.79651,0.49837,0.95343,0.98395,0.98354,0.99414,0.85282,0.63557,0.32914,0.8409,0.00120972,0.00120972,0.00120972
33,1913.37,0.81206,0.48772,0.95591,0.99428,0.99377,0.995,0.84877,0.62309,0.28196,0.83744,0.00120265,0.00120265,0.00120265
34,1971.26,0.81588,0.48567,0.95988,0.99847,1,0.995,0.85415,0.65684,0.29338,0.84395,0.00119557,0.00119557,0.00119557
35,2030.79,0.79038,0.46483,0.94936,0.99632,1,0.995,0.85101,0.64885,0.28138,0.84302,0.0011885,0.0011885,0.0011885
36,2090.25,0.79444,0.47792,0.94573,0.99636,1,0.995,0.85575,0.62808,0.29766,0.83583,0.00118143,0.00118143,0.00118143
37,2146.92,0.77796,0.4675,0.94936,0.99642,1,0.995,0.83094,0.71627,0.30965,0.86455,0.00117435,0.00117435,0.00117435
38,2205.5,0.78175,0.47449,0.95457,0.99715,1,0.995,0.85685,0.60235,0.28482,0.82927,0.00116728,0.00116728,0.00116728
39,2264.08,0.77707,0.46116,0.94159,0.99828,1,0.995,0.83075,0.67643,0.29737,0.85082,0.00116021,0.00116021,0.00116021
40,2323.64,0.75424,0.45465,0.94384,0.98492,1,0.995,0.82724,0.74563,0.30174,0.87268,0.00115313,0.00115313,0.00115313
41,2377.32,0.79159,0.46578,0.94533,0.99656,1,0.995,0.8571,0.61919,0.2822,0.8333,0.00114606,0.00114606,0.00114606
42,2431.11,0.75165,0.47616,0.94259,0.99105,0.99228,0.995,0.85178,0.65917,0.28441,0.83964,0.00113898,0.00113898,0.00113898
43,2485.56,0.75311,0.44954,0.94579,0.99753,1,0.995,0.84625,0.66132,0.28504,0.84467,0.00113191,0.00113191,0.00113191
44,2539.13,0.77445,0.44528,0.95506,0.99163,0.98372,0.995,0.84149,0.69153,0.30076,0.85206,0.00112484,0.00112484,0.00112484
45,2596.27,0.79487,0.46007,0.95505,0.99829,1,0.995,0.85236,0.65791,0.27287,0.84266,0.00111776,0.00111776,0.00111776
46,2652.8,0.7682,0.45787,0.94412,0.99747,1,0.995,0.83365,0.71268,0.29347,0.85904,0.00111069,0.00111069,0.00111069
47,2706.5,0.76566,0.43567,0.94715,0.97724,0.99072,0.98515,0.83973,0.64586,0.31353,0.84093,0.00110362,0.00110362,0.00110362
48,2764.45,0.7374,0.4145,0.92823,0.99764,1,0.995,0.86065,0.6086,0.26774,0.83124,0.00109654,0.00109654,0.00109654
49,2825.14,0.74516,0.45887,0.93653,0.9894,0.99145,0.99468,0.84894,0.64891,0.28384,0.84321,0.00108947,0.00108947,0.00108947
50,2878.61,0.74699,0.45503,0.93951,0.99696,1,0.995,0.85288,0.63079,0.27943,0.83583,0.0010824,0.0010824,0.0010824
51,2933.63,0.73808,0.43398,0.92691,0.99707,1,0.995,0.83892,0.67749,0.27077,0.84452,0.00107532,0.00107532,0.00107532
52,2991.9,0.7513,0.43888,0.93703,0.99581,1,0.995,0.85489,0.64162,0.26631,0.83907,0.00106825,0.00106825,0.00106825
53,3045.84,0.75072,0.42284,0.93663,0.99001,0.99379,0.98967,0.84732,0.64894,0.30902,0.84129,0.00106118,0.00106118,0.00106118
54,3104.19,0.75362,0.43548,0.93526,0.99893,0.99805,0.995,0.85278,0.63765,0.28159,0.83981,0.0010541,0.0010541,0.0010541
55,3161.29,0.74751,0.42434,0.93479,0.99777,1,0.995,0.85162,0.63302,0.27878,0.8349,0.00104703,0.00104703,0.00104703
56,3216.2,0.74039,0.42119,0.93646,0.99811,1,0.995,0.85625,0.63293,0.25787,0.83687,0.00103995,0.00103995,0.00103995
57,3269.88,0.73174,0.41704,0.93566,0.99739,1,0.995,0.83814,0.6896,0.29601,0.84966,0.00103288,0.00103288,0.00103288
58,3323.83,0.71645,0.41421,0.92901,0.98951,0.99991,0.995,0.85655,0.62893,0.26714,0.83423,0.00102581,0.00102581,0.00102581
59,3382.87,0.70724,0.39904,0.92372,0.98891,0.9995,0.995,0.85468,0.64214,0.26013,0.83815,0.00101873,0.00101873,0.00101873
60,3441.96,0.69371,0.39913,0.92296,0.99845,1,0.995,0.85503,0.60699,0.24486,0.8285,0.00101166,0.00101166,0.00101166
61,3501.19,0.70636,0.40547,0.92453,0.99438,1,0.995,0.83815,0.68688,0.26421,0.84949,0.00100459,0.00100459,0.00100459
62,3560.63,0.72388,0.42878,0.93198,0.99847,0.99347,0.995,0.85453,0.62399,0.27199,0.83248,0.000997513,0.000997513,0.000997513
63,3620.49,0.72457,0.40961,0.92814,0.99646,1,0.995,0.84171,0.63745,0.27234,0.84255,0.00099044,0.00099044,0.00099044
64,3709.05,0.71301,0.40444,0.92751,0.9986,1,0.995,0.85739,0.6019,0.26851,0.8298,0.000983366,0.000983366,0.000983366
65,3767.62,0.68224,0.40043,0.91533,0.99726,1,0.995,0.83772,0.68388,0.2702,0.85053,0.000976293,0.000976293,0.000976293
66,3827.39,0.70519,0.4155,0.93118,0.99808,1,0.995,0.86575,0.59993,0.25966,0.8244,0.000969219,0.000969219,0.000969219
67,3897.12,0.70153,0.40504,0.92143,0.99841,1,0.995,0.84991,0.61695,0.24293,0.83126,0.000962146,0.000962146,0.000962146
68,3955.95,0.69125,0.39732,0.92722,0.99676,1,0.995,0.84366,0.63122,0.25622,0.83567,0.000955072,0.000955072,0.000955072
69,4015.83,0.71268,0.41068,0.93444,0.99782,1,0.995,0.85902,0.61203,0.2549,0.83153,0.000947999,0.000947999,0.000947999
70,4104.3,0.68747,0.39827,0.91607,0.99043,0.99263,0.99417,0.84479,0.65744,0.28633,0.84339,0.000940925,0.000940925,0.000940925
71,4163.43,0.6862,0.41101,0.91877,0.99666,1,0.995,0.85568,0.61878,0.25366,0.83131,0.000933851,0.000933851,0.000933851
72,4222.93,0.67631,0.38283,0.91339,0.99844,1,0.995,0.85938,0.60649,0.25086,0.82988,0.000926778,0.000926778,0.000926778
73,4282.34,0.69319,0.41101,0.92012,0.99856,1,0.995,0.86194,0.61501,0.24714,0.83077,0.000919704,0.000919704,0.000919704
74,4341.82,0.68057,0.40727,0.91867,0.99805,1,0.995,0.86117,0.61158,0.25231,0.82664,0.000912631,0.000912631,0.000912631
75,4400.99,0.69971,0.39398,0.92514,0.99826,1,0.995,0.85885,0.62526,0.24978,0.83411,0.000905557,0.000905557,0.000905557
76,4476.05,0.69545,0.38511,0.92165,0.99849,1,0.995,0.85577,0.64787,0.25016,0.83914,0.000898484,0.000898484,0.000898484
77,4528.47,0.68273,0.38747,0.91392,0.99793,1,0.995,0.85342,0.62011,0.25946,0.82974,0.00089141,0.00089141,0.00089141
78,4587.36,0.67059,0.38433,0.91527,0.99746,1,0.995,0.85831,0.62456,0.249,0.83288,0.000884337,0.000884337,0.000884337
79,4646.58,0.6786,0.38167,0.92021,0.99862,1,0.995,0.85741,0.63774,0.2478,0.8377,0.000877263,0.000877263,0.000877263
80,4733.69,0.67404,0.36641,0.91401,0.99826,1,0.995,0.85265,0.61208,0.24023,0.83288,0.00087019,0.00087019,0.00087019
81,4794.3,0.67903,0.37845,0.91281,0.99759,1,0.995,0.85647,0.5957,0.2461,0.82649,0.000863116,0.000863116,0.000863116
82,4853.59,0.65331,0.37503,0.90773,0.99832,1,0.995,0.85867,0.62361,0.24267,0.83234,0.000856042,0.000856042,0.000856042
83,4909.41,0.66239,0.39084,0.91802,0.99794,1,0.995,0.85112,0.64498,0.25423,0.83835,0.000848969,0.000848969,0.000848969
84,4968.36,0.67966,0.3919,0.91315,0.99675,1,0.995,0.84869,0.63071,0.25276,0.83371,0.000841895,0.000841895,0.000841895
85,5027.86,0.6727,0.40481,0.91269,0.99814,1,0.995,0.85074,0.63017,0.24433,0.83477,0.000834822,0.000834822,0.000834822
86,5087.13,0.64732,0.38153,0.90623,0.99037,1,0.995,0.8552,0.63342,0.26407,0.83142,0.000827748,0.000827748,0.000827748
87,5178.6,0.64511,0.3627,0.91365,0.99733,1,0.995,0.8605,0.61452,0.26025,0.83073,0.000820675,0.000820675,0.000820675
88,5236.25,0.65662,0.37207,0.90594,0.99805,1,0.995,0.85783,0.6216,0.25874,0.83068,0.000813601,0.000813601,0.000813601
89,5296.16,0.6475,0.37684,0.90661,0.99833,1,0.995,0.85167,0.62528,0.24248,0.83254,0.000806528,0.000806528,0.000806528
90,5391.25,0.64153,0.35955,0.9036,0.99837,1,0.995,0.85367,0.63834,0.24368,0.83594,0.000799454,0.000799454,0.000799454
91,5449.49,0.6585,0.37457,0.90591,0.99828,1,0.995,0.85996,0.61736,0.23971,0.82855,0.00079238,0.00079238,0.00079238
92,5532.21,0.63755,0.35368,0.90861,0.99854,1,0.995,0.87024,0.6015,0.23112,0.82376,0.000785307,0.000785307,0.000785307
93,5591.66,0.64146,0.37394,0.9117,0.99689,1,0.995,0.85972,0.60973,0.24981,0.8283,0.000778233,0.000778233,0.000778233
94,5667.19,0.65473,0.35852,0.90753,0.99817,1,0.995,0.86477,0.61481,0.23519,0.82983,0.00077116,0.00077116,0.00077116
95,5720.65,0.65482,0.36112,0.9096,0.99816,1,0.995,0.85482,0.60938,0.2408,0.82738,0.000764086,0.000764086,0.000764086
96,5774.46,0.63459,0.34924,0.90374,0.99819,1,0.995,0.85566,0.62616,0.23886,0.83362,0.000757013,0.000757013,0.000757013
97,5835.57,0.6419,0.35798,0.91112,0.99829,1,0.995,0.8429,0.65224,0.24329,0.83794,0.000749939,0.000749939,0.000749939
98,5921.75,0.62539,0.36303,0.89398,0.99797,1,0.995,0.85785,0.62806,0.23872,0.83396,0.000742866,0.000742866,0.000742866
99,5975.8,0.6376,0.35966,0.90714,0.99812,1,0.995,0.85522,0.62828,0.24977,0.83332,0.000735792,0.000735792,0.000735792
100,6033.3,0.62246,0.35224,0.8982,0.99818,1,0.995,0.85709,0.63505,0.23742,0.83612,0.000728719,0.000728719,0.000728719
101,6093.69,0.63603,0.35644,0.90887,0.99815,1,0.995,0.86244,0.6089,0.23748,0.8297,0.000721645,0.000721645,0.000721645
